team;touches;passes_def;passes_mid;passes_att;passes_forward;passes_backward;passes_left;passes_right;passes_long;passes_short;crosses;shots;goals_scored;goals_received;possession;match;Link
Gremio;537;55;262;100;273;142;216;196;52;365;7;10;1;1;39,7;Round 4 - Flamengo x Gremio;https://1xbet.whoscored.com/Matches/1457579/Live/Brazil-Brasileirão-2020-Flamengo-Gremio
Athletico Paranaense;654;145;275;93;303;206;254;256;82;431;18;6;0;1;55,1;Round 4 - Athletic Paranaense x Palmeiras;https://1xbet.whoscored.com/Matches/1457604/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Palmeiras
Palmeiras;568;86;192;142;262;157;217;201;70;350;26;10;1;0;44,9;Round 4 - Athletic Paranaense x Palmeiras;https://1xbet.whoscored.com/Matches/1457604/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Palmeiras
Goias;575;63;220;134;273;141;223;193;53;364;16;13;1;3;48,5;Round 4 - Goias x Fortaleza;https://1xbet.whoscored.com/Matches/1457602/Live/Brazil-Brasileirão-2020-Goias-Fortaleza
Fortaleza;601;144;196;106;284;161;236;207;66;380;12;13;3;1;51,5;Round 4 - Goias x Fortaleza;https://1xbet.whoscored.com/Matches/1457602/Live/Brazil-Brasileirão-2020-Goias-Fortaleza
Internacional;632;109;233;154;276;218;249;245;73;423;19;11;3;0;57,3;Round 4 - Internacional x Atletico GO;https://1xbet.whoscored.com/Matches/1457591/Live/Brazil-Brasileirão-2020-Internacional-Atletico-GO
Atletico GO;489;73;208;92;244;129;193;176;48;325;14;7;0;3;42,7;Round 4 - Internacional x Atletico GO;https://1xbet.whoscored.com/Matches/1457591/Live/Brazil-Brasileirão-2020-Internacional-Atletico-GO
Corinthians;775;89;352;199;417;220;325;315;42;598;31;23;3;1;63,1;Round 4 - Corinthians x Coritiba;https://1xbet.whoscored.com/Matches/1457590/Live/Brazil-Brasileirão-2020-Corinthians-Coritiba
Coritiba;532;126;188;78;268;120;181;210;49;343;8;9;1;3;36,9;Round 4 - Corinthians x Coritiba;https://1xbet.whoscored.com/Matches/1457590/Live/Brazil-Brasileirão-2020-Corinthians-Coritiba
Botafogo;413;46;107;83;183;53;120;114;75;161;15;10;2;1;26,1;Round 4 - Botafogo x Atletico Mg;https://1xbet.whoscored.com/Matches/1457578/Live/Brazil-Brasileirão-2020-Botafogo-RJ-Atletico-MG
Atletico Mg;820;70;317;280;408;256;334;329;31;636;33;31;1;2;73,9;Round 4 - Botafogo x Atletico Mg;https://1xbet.whoscored.com/Matches/1457578/Live/Brazil-Brasileirão-2020-Botafogo-RJ-Atletico-MG
Sport Recife;515;61;196;136;263;128;199;190;45;348;21;11;0;1;41,4;Round 4 - Sport Recife x Santos;https://1xbet.whoscored.com/Matches/1457605/Live/Brazil-Brasileirão-2020-Sport-Recife-Santos-FC
Santos;707;112;303;134;361;186;183;264;67;482;15;16;1;0;58,6;Round 4 - Sport Recife x Santos;https://1xbet.whoscored.com/Matches/1457605/Live/Brazil-Brasileirão-2020-Sport-Recife-Santos-FC
Ceara;699;60;255;230;326;218;277;265;51;494;43;22;0;3;57,7;Round 4 - Ceara x Vasco;https://1xbet.whoscored.com/Matches/1457603/Live/Brazil-Brasileirão-2020-Ceara-Vasco-da-Gama
Vasco;575;89;246;68;256;145;194;207;48;355;8;5;3;0;42,3;Round 4 - Ceara x Vasco;https://1xbet.whoscored.com/Matches/1457603/Live/Brazil-Brasileirão-2020-Ceara-Vasco-da-Gama
Sao Paulo;847;94;404;200;446;248;335;362;37;661;36;25;1;1;67,6;Round 4 - Sao Paulo x Bahia;https://1xbet.whoscored.com/Matches/1457577/Live/Brazil-Brasileirão-2020-Sao-Paulo-Bahia
Bahia;468;83;175;78;234;102;165;169;66;270;8;8;1;1;32,3;Round 4 - Sao Paulo x Bahia;https://1xbet.whoscored.com/Matches/1457577/Live/Brazil-Brasileirão-2020-Sao-Paulo-Bahia
Athletico Paranaense;822;127;379;169;416;258;336;337;74;601;37;15;0;1;65,5;Round 5 - Athletico Paranaense x Fluminense;https://1xbet.whoscored.com/Matches/1457594/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Fluminense
Fluminense;531;117;152;96;249;116;193;170;48;317;11;9;1;0;34,5;Round 5 - Athletico Paranaense x Fluminense;https://1xbet.whoscored.com/Matches/1457594/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Fluminense
Internacional;449;67;173;92;236;96;169;159;85;247;9;6;1;0;33,1;Round 5 - Internacional x Atletico Mg;https://1xbet.whoscored.com/Matches/1457596/Live/Brazil-Brasileirão-2020-Internacional-Atletico-MG
Atletico Mg;827;99;387;175;428;230;350;310;59;602;16;11;0;1;66,9;Round 5 - Internacional x Atletico Mg;https://1xbet.whoscored.com/Matches/1457596/Live/Brazil-Brasileirão-2020-Internacional-Atletico-MG
Goias;494;70;132;108;214;96;160;147;75;235;13;6;2;0;33,6;Round 5 - Goias x Atletico GO;https://1xbet.whoscored.com/Matches/1457592/Live/Brazil-Brasileirão-2020-Goias-Atletico-GO
Atletico GO;752;107;269;226;397;203;293;308;54;548;30;16;0;2;66,4;Round 5 - Goias x Atletico GO;https://1xbet.whoscored.com/Matches/1457592/Live/Brazil-Brasileirão-2020-Goias-Atletico-GO
Flamengo;826;99;352;236;434;249;345;337;36;651;26;15;1;1;66,8;Round 5 - Flamengo x Botafogo;https://1xbet.whoscored.com/Matches/1457601/Live/Brazil-Brasileirão-2020-Flamengo-Botafogo-RJ
Botafogo;494;102;151;97;230;120;172;178;55;295;14;7;1;1;33,2;Round 5 - Flamengo x Botafogo;https://1xbet.whoscored.com/Matches/1457601/Live/Brazil-Brasileirão-2020-Flamengo-Botafogo-RJ
