;touches;passes_def;passes_mid;passes_att;passes_forward;passes_backward;passes_vertical;passes_left;passes_right;passes_horizontal;passes_long;passes_short;crosses;shots;goals_scored;goals_received;possession;match;Link
Atletico Mg;751;155;282;259;367;228;595;298;293;591;55;541;19;14;2;1;64;Round 10 - Atletico Mg x Red Bull;https://1xbet.whoscored.com/Matches/1457653/Live/Brazil-Brasileir%C3%A3o-2020-Atletico-MG-Red-Bull-Bragantino
Red Bull;502;69;176;101;244;101;345;169;173;342;57;289;14;12;1;2;36;Round 10 - Atletico Mg x Red Bull;https://1xbet.whoscored.com/Matches/1457653/Live/Brazil-Brasileir%C3%A3o-2020-Atletico-MG-Red-Bull-Bragantino
Ceara;551;56;221;103;253;126;379;187;191;378;67;313;11;8;2;0;37;Round 10 - Ceara x Flamengo;https://1xbet.whoscored.com/Matches/1457654/Live/Brazil-Brasileir%C3%A3o-2020-Ceara-Flamengo
Flamengo;793;119;271;241;406;218;624;333;296;629;51;580;30;11;0;2;63;Round 10 - Ceara x Flamengo;https://1xbet.whoscored.com/Matches/1457654/Live/Brazil-Brasileir%C3%A3o-2020-Ceara-Flamengo
Goias;336;67;62;54;144;39;183;100;83;183;57;126;2;6;1;0;22;Round 10 - Goias x Internacional;https://1xbet.whoscored.com/Matches/1457656/Live/Brazil-Brasileir%C3%A3o-2020-Goias-Internacional
Internacional;738;59;265;328;391;261;652;316;336;652;40;612;57;15;0;1;78;Round 10 - Goias x Internacional;https://1xbet.whoscored.com/Matches/1457656/Live/Brazil-Brasileir%C3%A3o-2020-Goias-Internacional
Bahia;632;110;238;125;316;156;472;243;228;471;45;428;14;9;0;1;53;Round 10 - Bahia x Atletico GO;https://1xbet.whoscored.com/Matches/1457651/Live/Brazil-Brasileir%C3%A3o-2020-Bahia-Atletico-GO
Atletico GO;563;121;169;132;288;134;422;199;222;421;43;382;18;12;1;0;47;Round 10 - Bahia x Atletico GO;https://1xbet.whoscored.com/Matches/1457651/Live/Brazil-Brasileir%C3%A3o-2020-Bahia-Atletico-GO
Palmeiras;742;57;365;198;380;239;619;290;328;618;47;573;22;20;2;2;64;Round 10 - Palmeiras x Sport Recife;https://1xbet.whoscored.com/Matches/1457641/Live/Brazil-Brasileir%C3%A3o-2020-Palmeiras-Sport-Recife
Sport Recife;511;93;193;76;230;131;361;178;179;357;56;306;11;9;2;2;37;Round 10 - Palmeiras x Sport Recife;https://1xbet.whoscored.com/Matches/1457641/Live/Brazil-Brasileir%C3%A3o-2020-Palmeiras-Sport-Recife
Botafogo;636;102;231;142;317;158;475;236;236;472;57;418;28;25;2;3;50;Round 10 - Botafogo x Vasco;https://1xbet.whoscored.com/Matches/1457642/Live/Brazil-Brasileir%C3%A3o-2020-Botafogo-RJ-Vasco-da-Gama
Vasco;673;83;255;148;300;185;485;254;231;485;55;431;14;14;3;2;50;Round 10 - Botafogo x Vasco;https://1xbet.whoscored.com/Matches/1457642/Live/Brazil-Brasileir%C3%A3o-2020-Botafogo-RJ-Vasco-da-Gama
