;touches;passes_def;passes_mid;passes_att;passes_forward;passes_backward;passes_vertical;passes_left;passes_right;passes_horizontal;passes_long;passes_short;crosses;shots;goals_scored;goals_received;possession;match;Link
Palmeiras;574;70;242;118;280;148;428;199;229;428;49;381;13;9;1;1;48;Round 2 - Fluminense x Palmeiras;https://1xbet.whoscored.com/Matches/1457567/Live/Brazil-Brasileirão-2020-Fluminense-Palmeiras
Ceara;607;97;248;116;286;175;461;148;213;361;58;403;13;11;1;1;42;Round 2 - Ceara x Gremio;https://1xbet.whoscored.com/Matches/1457574/Live/Brazil-Brasileirão-2020-Ceara-Gremio
Gremio;774;79;364;176;381;238;619;320;298;618;47;572;19;14;1;1;58;Round 2 - Ceara x Gremio;https://1xbet.whoscored.com/Matches/1457574/Live/Brazil-Brasileirão-2020-Ceara-Gremio
Sao Paulo;628;116;279;114;313;195;508;260;247;507;58;451;16;13;1;0;52;Round 2 - Sao Paulo x Fortaleza;https://1xbet.whoscored.com/Matches/1457565/Live/Brazil-Brasileirão-2020-Sao-Paulo-Fortaleza
Fortaleza;443;113;258;106;295;180;475;230;245;475;57;420;14;12;0;1;48;Round 2 - Sao Paulo x Fortaleza;https://1xbet.whoscored.com/Matches/1457565/Live/Brazil-Brasileirão-2020-Sao-Paulo-Fortaleza
Internacional;712;83;272;209;344;220;564;272;289;561;55;509;33;25;2;0;58;Round 2 - Internacional x Santos;https://1xbet.whoscored.com/Matches/1457562/Live/Brazil-Brasileirão-2020-Internacional-Santos-FC
Santos;607;147;198;66;285;124;409;184;221;405;45;366;10;6;0;2;42;Round 2 - Internacional x Santos;https://1xbet.whoscored.com/Matches/1457562/Live/Brazil-Brasileirão-2020-Internacional-Santos-FC
Vasco;556;84;220;96;249;151;400;188;210;398;45;355;10;9;2;0;46;Round 2 - Vasco x Sport Recife;https://1xbet.whoscored.com/Matches/1457566/Live/Brazil-Brasileirão-2020-Vasco-da-Gama-Sport-Recife
Sport Recife;626;68;245;160;304;167;471;247;226;473;35;438;25;13;0;2;54;Round 2 - Vasco x Sport Recife;https://1xbet.whoscored.com/Matches/1457566/Live/Brazil-Brasileirão-2020-Vasco-da-Gama-Sport-Recife
Gremio;718;47;248;256;340;207;547;266;283;549;40;511;36;24;0;0;48;Round 3 - Gremio x Corinthians;https://1xbet.whoscored.com/Matches/1457584/Live/Brazil-Brasileirão-2020-Gremio-Corinthians
Corinthians;771;132;354;109;358;232;590;310;284;594;47;548;12;5;0;0;52;Round 3 - Gremio x Corinthians;https://1xbet.whoscored.com/Matches/1457584/Live/Brazil-Brasileirão-2020-Gremio-Corinthians
Coritiba;461;97;143;95;229;105;334;174;160;334;56;279;15;9;0;1;35;Round 3 - Coritiba x Flamengo;https://1xbet.whoscored.com/Matches/1457582/Live/Brazil-Brasileirão-2020-Coritiba-Flamengo
Flamengo;732;122;278;179;346;233;579;297;281;578;61;518;18;18;1;0;65;Round 3 - Coritiba x Flamengo;https://1xbet.whoscored.com/Matches/1457582/Live/Brazil-Brasileirão-2020-Coritiba-Flamengo
Palmeiras;891;106;386;230;458;262;720;353;367;720;44;678;26;12;1;1;65;Round 3 - Palmeiras x Goias;https://1xbet.whoscored.com/Matches/1457587/Live/Brazil-Brasileirão-2020-Palmeiras-Goias
Goias;568;49;223;122;257;135;392;214;179;393;70;324;6;11;1;1;35;Round 3 - Palmeiras x Goias;https://1xbet.whoscored.com/Matches/1457587/Live/Brazil-Brasileirão-2020-Palmeiras-Goias
Atletico Mg;644;111;243;164;327;190;517;260;253;513;67;451;21;11;2;0;61;Round 3 - Atletico MG x Ceara;https://1xbet.whoscored.com/Matches/1457585/Live/Brazil-Brasileir%C3%A3o-2020-Atletico-MG-Ceara
Ceara;478;76;145;114;224;111;335;158;173;331;70;265;8;3;0;2;39;Round 3 - Atletico MG x Ceara;https://1xbet.whoscored.com/Matches/1457585/Live/Brazil-Brasileir%C3%A3o-2020-Atletico-MG-Ceara
Vasco;554;108;209;93;253;155;408;211;197;408;60;350;8;8;2;1;40;Round 3 - Vasco x Sao Paulo;https://1xbet.whoscored.com/Matches/1457588/Live/Brazil-Brasileirão-2020-Vasco-da-Gama-Sao-Paulo
Sao Paulo;723;105;323;178;372;234;606;306;298;604;42;564;19;11;1;2;60;Round 3 - Vasco x Sao Paulo;https://1xbet.whoscored.com/Matches/1457588/Live/Brazil-Brasileirão-2020-Vasco-da-Gama-Sao-Paulo
Bahia;577;74;251;86;278;132;410;218;188;406;53;358;8;10;2;1;43;Round 3 - Bahia x Red Bull;https://1xbet.whoscored.com/Matches/1457583/Live/Brazil-Brasileirão-2020-Bahia-Red-Bull-Bragantino
Red Bull;694;64;266;226;360;192;552;276;279;555;52;504;24;16;1;2;57;Round 3 - Bahia x Red Bull;https://1xbet.whoscored.com/Matches/1457583/Live/Brazil-Brasileirão-2020-Bahia-Red-Bull-Bragantino
Fluminense;552;72;205;96;246;126;372;182;191;373;46;327;8;10;2;1;44;Round 3 - Fluminense x Internacional;https://1xbet.whoscored.com/Matches/1457589/Live/Brazil-Brasileirão-2020-Fluminense-Internacional
Internacional;612;91;264;121;304;169;473;232;241;473;60;416;16;9;1;2;57;Round 3 - Fluminense x Internacional;https://1xbet.whoscored.com/Matches/1457589/Live/Brazil-Brasileirão-2020-Fluminense-Internacional
Atletico GO;424;47;111;112;211;57;268;138;131;269;52;218;15;11;1;1;32;Round 3 - Atletico GO x Sport Recife;https://1xbet.whoscored.com/Matches/1457580/Live/Brazil-Brasileirão-2020-Atletico-GO-Sport-Recife
Sport Recife;695;92;284;204;367;208;575;292;286;578;39;541;36;15;1;1;68;Round 3 - Atletico GO x Sport Recife;https://1xbet.whoscored.com/Matches/1457580/Live/Brazil-Brasileirão-2020-Atletico-GO-Sport-Recife
Fortaleza;710;97;353;146;357;236;593;299;295;594;34;562;17;12;0;0;59;Round 3 - Fortaleza x Botafogo;https://1xbet.whoscored.com/Matches/1457581/Live/Brazil-Brasileirão-2020-Fortaleza-Botafogo-RJ
Botafogo;541;93;219;112;267;155;422;225;197;422;37;387;20;15;0;0;42;Round 3 - Fortaleza x Botafogo;https://1xbet.whoscored.com/Matches/1457581/Live/Brazil-Brasileirão-2020-Fortaleza-Botafogo-RJ
Santos;481;96;140;87;211;110;321;173;150;323;56;267;12;11;3;1;33;Round 3 - Santos x Athletico Paranaense;https://1xbet.whoscored.com/Matches/1457586/Live/Brazil-Brasileirão-2020-Santos-FC-Athletico-Paranaense
Athletico Paranaense;587;140;300;207;380;254;634;327;307;634;60;587;28;12;1;3;67;Round 3 - Santos x Athletico Paranaense;https://1xbet.whoscored.com/Matches/1457586/Live/Brazil-Brasileirão-2020-Santos-FC-Athletico-Paranaense
Red Bull;653;82;218;190;336;152;488;257;230;487;50;440;23;13;2;1;52;Round 4 - Red Bull x Fluminense;https://1xbet.whoscored.com/Matches/1457576/Live/Brazil-Brasileirão-2020-Red-Bull-Bragantino-Fluminense
Fluminense;641;93;228;145;305;160;465;248;217;465;38;428;21;9;1;2;48;Round 4 - Red Bull x Fluminense;https://1xbet.whoscored.com/Matches/1457576/Live/Brazil-Brasileirão-2020-Red-Bull-Bragantino-Fluminense
Flamengo;758;109;340;182;387;236;623;308;318;626;49;582;11;8;1;1;60;Round 4 - Flamengo x Gremio;https://1xbet.whoscored.com/Matches/1457579/Live/Brazil-Brasileirão-2020-Flamengo-Gremio
Gremio;537;55;262;100;273;142;415;216;196;412;52;365;7;10;1;1;40;Round 4 - Flamengo x Gremio;https://1xbet.whoscored.com/Matches/1457579/Live/Brazil-Brasileirão-2020-Flamengo-Gremio
Athletico Paranaense;654;145;275;93;303;206;509;254;256;510;82;431;18;6;0;1;55;Round 4 - Athletic Paranaense x Palmeiras;https://1xbet.whoscored.com/Matches/1457604/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Palmeiras
Palmeiras;568;86;192;142;262;157;419;217;201;418;70;350;26;10;1;0;45;Round 4 - Athletic Paranaense x Palmeiras;https://1xbet.whoscored.com/Matches/1457604/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Palmeiras
Goias;575;63;220;134;273;141;414;223;193;416;53;364;16;13;1;3;49;Round 4 - Goias x Fortaleza;https://1xbet.whoscored.com/Matches/1457602/Live/Brazil-Brasileirão-2020-Goias-Fortaleza
Fortaleza;601;144;196;106;284;161;445;236;207;443;66;380;12;13;3;1;52;Round 4 - Goias x Fortaleza;https://1xbet.whoscored.com/Matches/1457602/Live/Brazil-Brasileirão-2020-Goias-Fortaleza
Internacional;632;109;233;154;276;218;494;249;245;494;73;423;19;11;3;0;57;Round 4 - Internacional x Atletico GO;https://1xbet.whoscored.com/Matches/1457591/Live/Brazil-Brasileirão-2020-Internacional-Atletico-GO
Atletico GO;489;73;208;92;244;129;373;193;176;369;48;325;14;7;0;3;43;Round 4 - Internacional x Atletico GO;https://1xbet.whoscored.com/Matches/1457591/Live/Brazil-Brasileirão-2020-Internacional-Atletico-GO
Corinthians;775;89;352;199;417;220;637;325;315;640;42;598;31;23;3;1;63;Round 4 - Corinthians x Coritiba;https://1xbet.whoscored.com/Matches/1457590/Live/Brazil-Brasileirão-2020-Corinthians-Coritiba
Coritiba;532;126;188;78;268;120;388;181;210;391;49;343;8;9;1;3;37;Round 4 - Corinthians x Coritiba;https://1xbet.whoscored.com/Matches/1457590/Live/Brazil-Brasileirão-2020-Corinthians-Coritiba
Botafogo;413;46;107;83;183;53;236;120;114;234;75;161;15;10;2;1;26;Round 4 - Botafogo x Atletico Mg;https://1xbet.whoscored.com/Matches/1457578/Live/Brazil-Brasileirão-2020-Botafogo-RJ-Atletico-MG
Atletico Mg;820;70;317;280;408;256;664;334;329;663;31;636;33;31;1;2;74;Round 4 - Botafogo x Atletico Mg;https://1xbet.whoscored.com/Matches/1457578/Live/Brazil-Brasileirão-2020-Botafogo-RJ-Atletico-MG
Sport Recife;515;61;196;136;263;128;391;199;190;389;45;348;21;11;0;1;41;Round 4 - Sport Recife x Santos;https://1xbet.whoscored.com/Matches/1457605/Live/Brazil-Brasileirão-2020-Sport-Recife-Santos-FC
Santos;707;112;303;134;361;186;547;183;264;447;67;482;15;16;1;0;59;Round 4 - Sport Recife x Santos;https://1xbet.whoscored.com/Matches/1457605/Live/Brazil-Brasileirão-2020-Sport-Recife-Santos-FC
Ceara;699;60;255;230;326;218;544;277;265;542;51;494;43;22;0;3;58;Round 4 - Ceara x Vasco;https://1xbet.whoscored.com/Matches/1457603/Live/Brazil-Brasileirão-2020-Ceara-Vasco-da-Gama
Vasco;575;89;246;68;256;145;401;194;207;401;48;355;8;5;3;0;42;Round 4 - Ceara x Vasco;https://1xbet.whoscored.com/Matches/1457603/Live/Brazil-Brasileirão-2020-Ceara-Vasco-da-Gama
Sao Paulo;847;94;404;200;446;248;694;335;362;697;37;661;36;25;1;1;68;Round 4 - Sao Paulo x Bahia;https://1xbet.whoscored.com/Matches/1457577/Live/Brazil-Brasileirão-2020-Sao-Paulo-Bahia
Bahia;468;83;175;78;234;102;336;165;169;334;66;270;8;8;1;1;32;Round 4 - Sao Paulo x Bahia;https://1xbet.whoscored.com/Matches/1457577/Live/Brazil-Brasileirão-2020-Sao-Paulo-Bahia
Athletico Paranaense;822;127;379;169;416;258;674;336;337;673;74;601;37;15;0;1;66;Round 5 - Athletico Paranaense x Fluminense;https://1xbet.whoscored.com/Matches/1457594/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Fluminense
Fluminense;531;117;152;96;249;116;365;193;170;363;48;317;11;9;1;0;35;Round 5 - Athletico Paranaense x Fluminense;https://1xbet.whoscored.com/Matches/1457594/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Fluminense
Internacional;449;67;173;92;236;96;332;169;159;328;85;247;9;6;1;0;33;Round 5 - Internacional x Atletico Mg;https://1xbet.whoscored.com/Matches/1457596/Live/Brazil-Brasileirão-2020-Internacional-Atletico-MG
Atletico Mg;827;99;387;175;428;230;658;350;310;660;59;602;16;11;0;1;67;Round 5 - Internacional x Atletico Mg;https://1xbet.whoscored.com/Matches/1457596/Live/Brazil-Brasileirão-2020-Internacional-Atletico-MG
Goias;494;70;132;108;214;96;310;160;147;307;75;235;13;6;2;0;34;Round 5 - Goias x Atletico GO;https://1xbet.whoscored.com/Matches/1457592/Live/Brazil-Brasileirão-2020-Goias-Atletico-GO
Atletico GO;752;107;269;226;397;203;600;293;308;601;54;548;30;16;0;2;66;Round 5 - Goias x Atletico GO;https://1xbet.whoscored.com/Matches/1457592/Live/Brazil-Brasileirão-2020-Goias-Atletico-GO
Flamengo;826;99;352;236;434;249;683;345;337;682;36;651;26;15;1;1;67;Round 5 - Flamengo x Botafogo;https://1xbet.whoscored.com/Matches/1457601/Live/Brazil-Brasileirão-2020-Flamengo-Botafogo-RJ
Botafogo;494;102;151;97;230;120;350;172;178;350;55;295;14;7;1;1;33;Round 5 - Flamengo x Botafogo;https://1xbet.whoscored.com/Matches/1457601/Live/Brazil-Brasileirão-2020-Flamengo-Botafogo-RJ
Red Bull;549;48;171;163;266;114;380;190;187;377;36;346;32;15;1;2;47;Round 5 - Red Bull x Coritiba;https://1xbet.whoscored.com/Matches/1457598/Live/Brazil-Brasileirão-2020-Red-Bull-Bragantino-Coritiba
Coritiba;592;159;174;95;266;160;426;226;200;426;63;356;8;7;2;1;53;Round 5 - Red Bull x Coritiba;https://1xbet.whoscored.com/Matches/1457598/Live/Brazil-Brasileirão-2020-Red-Bull-Bragantino-Coritiba
Palmeiras;543;73;206;121;258;142;400;194;204;398;57;343;17;18;2;1;49;Round 5 - Palmeiras x Santos;https://1xbet.whoscored.com/Matches/1457599/Live/Brazil-Brasileirão-2020-Palmeiras-Santos-FC
Santos;551;105;190;124;287;131;418;211;207;418;54;365;19;8;1;2;56;Round 5 - Palmeiras x Santos;https://1xbet.whoscored.com/Matches/1457599/Live/Brazil-Brasileirão-2020-Palmeiras-Santos-FC
Vasco;611;120;237;94;278;173;451;231;217;448;51;400;11;10;0;0;47;Round 5 - Vasco x Gremio;https://1xbet.whoscored.com/Matches/1457600/Live/Brazil-Brasileirão-2020-Vasco-da-Gama-Gremio
Gremio;669;70;285;154;312;192;504;257;250;507;43;466;13;14;0;0;53;Round 5 - Vasco x Gremio;https://1xbet.whoscored.com/Matches/1457600/Live/Brazil-Brasileirão-2020-Vasco-da-Gama-Gremio
Sport Recife;674;72;305;170;329;217;546;280;165;445;57;490;13;10;0;1;55;Round 5 - Sport Recife x Sao Paulo;https://1xbet.whoscored.com/Matches/1457595/Live/Brazil-Brasileirão-2020-Sport-Recife-Sao-Paulo
Sao Paulo;585;161;196;96;283;167;450;218;234;452;49;404;14;11;1;0;45;Round 5 - Sport Recife x Sao Paulo;https://1xbet.whoscored.com/Matches/1457595/Live/Brazil-Brasileirão-2020-Sport-Recife-Sao-Paulo
Ceara;540;55;212;113;244;133;377;187;193;380;54;326;15;11;2;0;38;Round 5 - Ceara x Bahia;https://1xbet.whoscored.com/Matches/1457593/Live/Brazil-Brasileirão-2020-Ceara-Bahia
Bahia;756;98;347;156;383;217;600;315;284;599;48;553;32;16;0;2;62;Round 5 - Ceara x Bahia;https://1xbet.whoscored.com/Matches/1457593/Live/Brazil-Brasileirão-2020-Ceara-Bahia
Sao Paulo;815;193;282;182;387;269;656;346;310;656;65;592;28;15;1;0;57;Round 11 - Sao Paulo x Athletic Paranaense;https://1xbet.whoscored.com/Matches/1457659/Live/Brazil-Brasileirão-2020-Sao-Paulo-Athletico-Paranaense
Athletico Paranaense;656;146;256;97;314;185;499;253;244;497;64;435;9;5;0;1;43;Round 11 - Sao Paulo x Athletic Paranaense;https://1xbet.whoscored.com/Matches/1457659/Live/Brazil-Brasileirão-2020-Sao-Paulo-Athletico-Paranaense
Corinthians;739;117;315;190;404;216;620;329;291;620;49;573;14;21;1;1;59;Round 5 - Corinthians x Fortaleza;https://1xbet.whoscored.com/Matches/1457597/Live/Brazil-Brasileirão-2020-Corinthians-Fortaleza
Fortaleza;569;91;237;105;276;155;431;216;216;432;72;361;8;10;1;1;41;Round 5 - Corinthians x Fortaleza;https://1xbet.whoscored.com/Matches/1457597/Live/Brazil-Brasileirão-2020-Corinthians-Fortaleza
Botafogo;627;106;293;106;324;178;502;261;242;503;55;450;16;7;0;2;47;Round 6 - Botafogo x Internacional;https://1xbet.whoscored.com/Matches/1457607/Live/Brazil-Brasileirão-2020-Botafogo-RJ-Internacional
